well_id,well_name,lat,long,gse,aquifer_id
USGS-423614121440501,"34.00S/08.00E-23CDC01",42.6040209419974,-121.73474491284,4263,ID_00000
USGS-423614121462001,"34.00S/08.00E-21CDD02",42.6038703966356,-121.772223619514,4275,ID_00000
USGS-423616121461601,"34.00S/08.00E-21CDD01",42.6043731805647,-121.77120137869,4280,ID_00000
USGS-423618121453901,"34.00S/08.00E-21DDA01",42.604958333333336,-121.76071944444445,4282,ID_00000
USGS-423618121522901,"34.00S/07.00E-22CCB01",42.6049582664958,-121.874626691965,4218,201
USGS-423622121401001,"34.00S/09.00E-20DCA01",42.60603888888889,-121.66951111111112,4326,ID_00000
USGS-423623121174001,"34.00S/12.00E-21DAC01",42.60639722222222,-121.29568333333333,4964,ID_00000
USGS-423626121483801,"34.00S/08.00E-19CAD02",42.6072033239765,-121.810619283083,4260,ID_00000
USGS-423628121520201,"34.00S/07.00E-22DBC01",42.6077138691326,-121.867348757359,4182,201
USGS-423631121484501,"34.00S/08.00E-19CAB01",42.6087255161006,-121.812383258993,4299,ID_00000
USGS-423633121421701,"34.00S/08.00E-24DAB01",42.6090465239837,-121.704825035998,4282,ID_00000
USGS-423634121420901,"34.00S/08.00E-24DAA01",42.6094076786,-121.702597225865,4285,ID_00000
USGS-423638121511701,"34.00S/07.00E-23BCD01",42.6105028582343,-121.854742888531,4340,201
USGS-423649121411001,"34.00S/09.00E-19ADB01",42.6135274320939,-121.686249803333,4275,ID_00000
USGS-423659121431601,"34.00S/08.00E-23AAA01",42.61636388888889,-121.72099166666666,4356,ID_00000
USGS-423710121524501,"34.00S/07.00E-16DDB01",42.6191997466007,-121.880346611628,4225,201
USGS-423713121524501,"34.00S/07.00E-16DDB02",42.6202691821958,-121.880254965167,4230,201
USGS-423726121504001,"34.00S/07.00E-14DBA01",42.6239000654612,-121.844523437394,4290,201
USGS-423736121514101,"34.00S/07.00E-15ADB01",42.6267832033577,-121.861332327484,4202,201
USGS-423739121514101,"34.00S/07.00E-15ADB02",42.627405555555555,-121.8613111111111,4206,201
USGS-423741121522001,"34.00S/07.00E-15BDB01",42.6279469700985,-121.872346564522,4181,201
USGS-423743121520601,"34.00S/07.00E-15BAD01",42.6286581146527,-121.868421464886,4204,201
USGS-423750121512401,"34.00S/07.00E-14BBB01",42.6304248855564,-121.856621157874,4235,201
USGS-423807121512601,"34.00S/07.00E-11CBC01",42.6354081698549,-121.857104614337,4240,201
USGS-423818121523001,"34.00S/07.00E-10CBA01",42.6383524041675,-121.875016311155,4190,201
USGS-423832121524801,"34S/07E-09ADB",42.641855086906,-121.881147120114,4210,201
USGS-423900121525501,"34.00S/07.00E-04DAC01",42.6499744486651,-121.881955650574,4200,201
USGS-423915121525501,"34.00S/07.00E-04ADC01",42.6542688547193,-121.881866850974,4200,201
USGS-423933121505901,"34.00S/07.00E-02BAA01",42.6591274692052,-121.850943845148,4200,201
USGS-423945121505301,"34.00S/07.00E-35DCB02",42.6624413590769,-121.848099392119,4203,201
USGS-423947121505301,"33.00S/07.00E-35DCB01",42.66309690849,-121.848138296573,4201,201
USGS-424303121543001,"33.00S/07.00E-17BAD01",42.7175124234192,-121.908257820086,4965,201
USGS-424327121095001,"33.00S/13.00E-10CAA01",42.7240084940216,-121.165107442316,4980,ID_00000
USGS-424335121252201,"33.00S/11.00E-09BCD01",42.7262347451059,-121.423807535403,4599,201
USGS-424413121433201,"33.00S/08.00E-02DCA01",42.7369145719742,-121.726570207099,4523,201
USGS-424725121442901,"32.00S/08.00E-22AAA01",42.7901635621119,-121.742543996255,4620,201
USGS-424800121032201,"32.00S/14.00E-16ADA01",42.7998585520968,-121.057310990278,5015,ID_00000
USGS-424831121265001,"32.00S/11.00E-08CBC01",42.8085081312463,-121.448358717303,4581,201
USGS-425050121263901,"31S/11E-32BBA",42.8471797066058,-121.445226836078,4615,201
USGS-425114121092001,"31.00S/13.00E-27DAC01",42.8536940572968,-121.156648160006,5055,ID_00000
USGS-425154121470801,"31S/07E-01ADC",42.9149830155557,-121.823554172306,4545,201
USGS-425208121500601,"31.00S/07.00E-24CBD01",42.86884444444444,-121.83504166666667,4562,201
USGS-425235121495501,"31S/07E-24C1",42.876380555555556,-121.83204166666667,4555,201
USGS-425406121491601,"31.00S/07.00E-12ADD01",42.90163888888889,-121.821075,4544,201
USGS-425532121282201,"30.00S/10.00E-36DAC01",42.92539444444444,-121.47387222222223,4558,201
USGS-425533121282001,"30S/10E-36dab",42.9255754987541,-121.473353788296,4560,201
USGS-425558121490801,"30.00S/08.00E-31BAC01",42.93273147322387,-121.81880187040748,4554,201
USGS-425608121285901,"30.00S/10.00E-25CDC01",42.9354475648282,-121.484288139193,4552,201
USGS-425609121290001,"30.00S/10.00E-25CDC02",42.935736449588,-121.484352044243,4550,201
USGS-425609121490701,"30.00S/08.00E-30CDC01",42.932766666666666,-121.81882499999999,4550,201
USGS-425623121280501,"30.00S/10.00E-25DAD01",42.9394530671094,-121.469284722257,4630,201
USGS-425731121542701,"30.00S/07.00E-24ADC01",42.9584925740239,-121.9085790031,4690,201
USGS-425747121282501,"30.00S/10.00E-24AAB01",42.9630138207007,-121.473655422579,4600,201
USGS-425757121343901,"30.00S/10.00E-18DCC01",42.9659537504164,-121.577570838611,4536,201
USGS-425804121344701,"30.00S/10.00E-18CDA01",42.96772777777778,-121.57978888888888,4594,201
USGS-425821121353601,"30.00S/09.00E-13ACD01",42.97247222222222,-121.59319444444444,4565,201
USGS-425838121291901,"30.00S/10.00E-13BBB01",42.9770747697419,-121.489606940034,4585,201
USGS-425924121300901,"30.00S/10.00E-11BAC01",42.9897301464569,-121.503538715285,4552,201
USGS-425938121394601,"30.00S/09.00E-04CCD01",42.9939875245549,-121.662854888325,4519,201
USGS-430003121360901,"30.00S/09.00E-01BCD01",43.0007,-121.602611,4560,201
USGS-430029121552101,"30.00S/07.00E-06AAA01",43.008002777777776,-121.92373888888889,4795,201
USGS-430055121401501,"29.00S/09.00E-32DBA01",43.01518611111111,-121.67079722222223,4524,201
USGS-430225121352501,"29.00S/09.00E-24DDB01",43.04021871634,-121.591410978878,4545,201
USGS-430358121482501,"29.00S/08.00E-07DDD01",43.0661033460749,-121.80682840052,4645,201
USGS-430445121515701,"34.00S/07.00E-15BBC02",43.0790360385964,-121.867082275128,4183,201
USGS-430449121493501,"29.00S/07.00E-12AAA01",43.08016388888889,-121.82627777777778,4614,201
USGS-430517121402701,"29.00S/09.00E-05ACC01",43.0879937913413,-121.675383211576,4855,201
USGS-430649121305201,"28.00S/10.00E-27DBD01",43.11333055555556,-121.5154388888889,4889,201
USGS-430813121482201,"28.00S/08.00E-19AAA01",43.1368523949834,-121.807217836764,4638,201
USGS-430816121404101,"28.00S/09.00E-20BAB01",43.13760277777778,-121.67927222222222,4987,201
USGS-430837121472801,"28S/08E-17DBD",43.143452777777775,-121.79243611111112,4666,201
USGS-430837121473201,"28.00S/08.00E-17DBC01",43.143713485975,-121.793162121667,4665,201
USGS-431020121471101,"28.00S/08.00E-05DAD01",43.172225,-121.78626388888888,4713,201
USGS-431041121470601,"28.00S/08.00E-05ADA01",43.1779352565544,-121.786003958563,4740,201
USGS-431209121464901,"27.00S/08.00E-28CBD01",43.2023293656012,-121.781348537334,4751,201
USGS-431242121464901,"27.00S/08.00E-21CCD02",43.21172777777778,-121.78023055555555,4757,201
USGS-431243121464501,"27.00S/08.00E-21CCD01",43.21170711690385,-121.78016971983183,4755,201
USGS-431257121464801,"27.00S/08.00E-21CDB01",43.21568611111111,-121.78116388888888,4758,201
USGS-431258121470201,"27.00S/08.00E-21CBC01",43.21606111111112,-121.78383055555555,4760,201
USGS-431331121472001,"27.00S/08.00E-20AAB02",43.22525,-121.789,4755,201
USGS-431333121471601,"27.00S/08.00E-20AAB01",43.2256790145499,-121.789046053515,4760,201
USGS-431337121575701,"27.00S/06.50E-14AAB01",43.22667777777778,-121.96693333333333,5680,201
